Comment.id|Person.id
274877907725|4398046511147
274877907726|2199023255574
274877907727|2199023255555
274877907728|2199023255555
274877907729|4398046511113
274877907730|2199023255580
274877907731|2199023255555
274877907732|8796093022252
274877907733|2199023255555
274877907734|4398046511151
274877907735|4398046511109
274877907736|4398046511113
274877907737|2199023255574
274877907738|8796093022252
274877907739|2199023255555
274877907740|6597069766672
274877907741|4398046511109
274877907742|4398046511113
274877907743|2199023255555
343597384643|8796093022252
343597384644|4398046511146
343597384645|6597069766674
343597384646|4398046511127
343597384648|4398046511133
343597384659|41
343597384660|4398046511127
343597384661|8796093022220
343597384662|4398046511147
343597384663|2199023255555
343597384664|6597069766692
343597384665|6
343597384666|8796093022235
343597384667|8796093022252
343597384668|4398046511127
343597384669|8796093022238
343597384670|8796093022248
343597384671|8796093022246
343597384672|4398046511106
343597384673|4398046511106
343597384690|4398046511105
343597384691|2199023255580
343597384692|8796093022238
343597384693|6597069766701
343597384694|2199023255591
343597384695|8796093022248
343597384696|4398046511112
343597384697|4398046511146
343597384715|8796093022246
343597384716|4398046511133
343597384717|4398046511146
343597384718|8796093022232
343597384719|4398046511109
343597384720|8796093022238
343597384721|4398046511123
343597384722|6597069766656
343597384723|6597069766672
343597384724|4398046511109
343597384725|8796093022222
343597384726|4398046511106
343597384727|4398046511106
343597384728|8796093022248
343597384729|8796093022252
343597384730|2199023255555
343597384732|4398046511136
343597384733|6597069766674
343597384734|4398046511127
343597384735|6597069766681
343597384736|41
343597384737|8796093022239
343597384738|4398046511127
343597384739|41
343597384740|8796093022235
343597384741|8796093022220
343597384742|4398046511105
343597384743|8796093022215
343597384744|8796093022246
343597384745|6597069766656
343597384746|6597069766674
343597384747|6597069766681
343597384748|8796093022220
343597384754|6597069766681
343597384755|8796093022252
343597384756|4398046511112
343597384757|8796093022248
343597384758|8796093022239
343597384759|2199023255574
343597384760|8796093022235
343597384761|8796093022248
343597384762|4398046511146
343597384763|8796093022215
343597384764|8796093022239
343597384819|8796093022232
343597384820|4398046511106
343597384821|6597069766692
343597384822|8796093022246
343597384823|4398046511124
343597384824|6597069766660
343597384825|4398046511124
343597384826|4398046511124
274877908112|6597069766667
274877908113|8796093022235
274877908114|4398046511109
274877908115|4398046511124
274877908116|6597069766692
274877908117|4398046511109
274877908118|4398046511124
343597384856|6597069766674
343597384857|10995116277809
343597384858|8796093022235
343597384859|8796093022246
343597384860|4398046511124
343597384861|8796093022215
343597384862|8796093022238
343597384863|8796093022239
343597384864|6597069766692
343597384865|6597069766672
343597384866|4398046511113
343597384867|2199023255574
343597384868|4398046511113
343597384869|4398046511109
343597384870|4398046511147
343597384871|6597069766692
343597384872|4398046511146
274877908498|4398046511105
274877908499|6597069766660
206158431765|6597069766672
206158431766|4398046511146
206158431767|4398046511105
206158431768|4398046511146
206158431769|6597069766672
206158431770|6597069766672
206158431771|4398046511146
206158431772|4398046511146
206158431773|4398046511105
206158431774|4398046511146
206158431775|4398046511105
206158431776|4398046511105
206158431777|6597069766672
